,Encoder,Gyro,Target,duty
610,-2.460938,-1.559741,-8.705934,21
611,-1.40625,-1.559741,-8.859425,22
612,-0.703125,-1.563403,-9.719703,24
613,-3.515625,-1.568286,-7.772364,19
614,-2.460938,-1.571948,-6.883374,17
615,0.351562,-1.571948,-8.806885,21
616,1.40625,-1.57439,-11.787524,29
617,-0.351562,-1.57561,-13.011572,32
618,0.351562,-1.57439,-14.937524,37
619,1.054688,-1.576831,-17.569042,43
620,-0.703125,-1.580493,-18.446411,46
621,-1.40625,-1.578052,-18.618214,46
622,0.351562,-1.584155,-20.553932,51
623,-2.460938,-1.586597,-19.679592,49
624,-2.109375,-1.580493,-19.150711,47
625,-1.757812,-1.593921,-18.98682,47
626,-3.515625,-1.597583,-17.068779,42
627,-3.867188,-1.597583,-14.799175,37
628,-3.515625,-1.596362,-12.879913,32
629,-4.21875,-1.601245,-10.262408,25
630,-2.460938,-1.585376,-9.386847,23
631,-2.109375,-1.573169,-8.85064,22
632,-2.460938,-1.569507,-7.959209,19
633,1.054688,-1.556079,-10.569976,26
634,0.703125,-1.549976,-12.823076,31
635,-3.515625,-1.54021,-10.847661,27
636,-1.757812,-1.535327,-10.625175,26
637,-0.703125,-1.534106,-11.456157,28
638,-2.460938,-1.528003,-10.523222,26
639,-1.757812,-1.520679,-10.286088,25
640,-0.351562,-1.515796,-11.450321,28
641,-2.109375,-1.508472,-10.849418,27
642,-0.703125,-1.503589,-11.649881,29
643,-0.703125,-1.498706,-12.445462,31
644,-2.109375,-1.484058,-11.820145,29
645,-0.703125,-1.481616,-12.598636,31
646,0,-1.471851,-14.070486,35
647,-1.757812,-1.464526,-13.7772,34
648,-3.867188,-1.464526,-11.374538,28
649,-0.351562,-1.455981,-12.478957,31
650,-1.757812,-1.449878,-12.171022,30
651,0,-1.443774,-13.614797,33
652,0.351562,-1.437671,-15.40403,38
653,-2.8125,-1.438892,-14.030422,35
654,-2.109375,-1.43523,-13.356277,33
655,-0.703125,-1.429126,-14.082277,35
656,-0.351562,-1.424243,-15.154958,37
657,2.460938,-1.424243,-19.040138,47
658,0.351562,-1.41936,-20.811062,51
659,-2.460938,-1.407153,-19.757278,49
660,-3.164062,-1.404712,-17.997929,45
661,-1.054688,-1.396167,-18.339409,45
662,-2.8125,-1.387622,-16.914532,42
663,-3.515625,-1.386401,-14.785309,37
664,-1.40625,-1.368091,-14.74715,36
665,-4.21875,-1.370532,-11.898933,29
666,-3.867188,-1.352222,-9.383967,23
667,-2.460938,-1.335132,-8.258162,20
668,1.054688,-1.320483,-10.633332,26
669,1.40625,-1.299731,-13.339314,33
670,-1.054688,-1.282642,-13.567267,33
671,-1.757812,-1.276538,-13.085993,32
672,-1.40625,-1.267993,-12.947736,32
673,-0.703125,-1.254565,-13.499176,33
674,-1.40625,-1.253345,-13.346271,33
675,-0.351562,-1.246021,-14.240728,35
676,-1.054688,-1.233814,-14.419854,36
677,1.054688,-1.221606,-16.696148,41
678,-1.40625,-1.215503,-16.505402,41
679,-1.054688,-1.204517,-16.655231,41
680,-1.757812,-1.198413,-16.095833,40
681,-0.351562,-1.184985,-16.929256,42
682,-1.054688,-1.172778,-17.047348,42
683,-1.054688,-1.161792,-17.154453,42
684,-2.109375,-1.150806,-16.195885,40
685,-2.8125,-1.131274,-14.51466,36
686,-1.40625,-1.126392,-14.234801,35
687,0,-1.108081,-15.342882,38
688,-3.164062,-1.100757,-13.279577,33
689,-4.921875,-1.087329,-9.445031,23
690,-2.8125,-1.072681,-7.705212,19
691,-2.109375,-1.065356,-6.661193,16
692,3.867188,-1.05437,-11.58275,28
693,1.054688,-1.03606,-13.673497,34
694,-0.703125,-1.026294,-13.996666,34
695,-1.757812,-1.02019,-13.259044,33
696,-1.054688,-1.01897,-13.223326,33
697,1.054688,-1.009204,-15.287217,38
698,-1.757812,-1.004321,-14.533726,36
699,1.40625,-0.995776,-16.935753,42
700,-1.054688,-0.988452,-16.869518,42
701,1.054688,-0.982349,-18.906555,47
702,-1.757812,-0.977466,-18.126209,45
703,0.703125,-0.972583,-19.801918,49
704,0.703125,-0.9677,-21.472744,53
705,-2.460938,-0.956714,-19.968521,50
706,-1.054688,-0.948169,-19.862003,49
707,-1.757812,-0.942065,-19.046257,47
708,-2.460938,-0.934741,-17.520061,43
709,-2.109375,-0.9323,-16.342987,40
710,-5.273438,-0.917651,-11.987202,30
711,-1.054688,-0.916431,-11.848945,29
712,-2.8125,-0.912769,-9.949213,24
713,1.757812,-0.905444,-12.61247,31
714,-1.054688,-0.885913,-12.443695,31
715,0,-0.884692,-13.328387,33
716,-1.757812,-0.876147,-12.446722,31
717,-0.703125,-0.871265,-12.614861,31
718,-0.351562,-0.857837,-13.121136,32
719,-1.40625,-0.855395,-12.570281,31
720,-0.351562,-0.838306,-13.057024,32
721,-0.703125,-0.838306,-13.192204,32
722,-4.570312,-0.830981,-9.452873,23
723,2.8125,-0.819995,-13.085368,32
724,-1.40625,-0.818774,-12.497892,31
725,1.757812,-0.807788,-15.063493,37
726,0,-0.799243,-15.862736,39
727,0.351562,-0.799243,-17.013542,42
728,-2.460938,-0.790698,-15.343304,38
729,-1.054688,-0.787036,-15.075653,37
730,2.8125,-0.785815,-18.673969,46
731,-3.164062,-0.77727,-16.287178,40
732,-0.703125,-0.779712,-16.363766,40
733,0.351562,-0.766284,-17.481613,43
734,-2.8125,-0.757739,-15.426853,38
735,-0.351562,-0.756519,-15.83181,39
736,0,-0.751636,-16.583447,41
737,-1.757812,-0.750415,-15.57605,39
738,-2.460938,-0.740649,-13.855762,34
739,-4.570312,-0.732104,-10.017554,25
740,0,-0.728442,-10.745996,26
741,-0.351562,-0.72478,-11.119214,27
742,0,-0.719897,-11.839111,29
743,0,-0.712573,-12.551684,31
744,-1.40625,-0.705249,-11.850683,29
745,1.40625,-0.70769,-13.964623,34
746,-1.054688,-0.694263,-13.604198,34
747,2.460938,-0.695483,-16.76062,41
748,-2.460938,-0.685718,-14.985401,37
749,-0.351562,-0.68938,-15.323218,38
750,0.703125,-0.682056,-16.708399,41
751,-0.703125,-0.679614,-16.684889,41
752,-1.757812,-0.675952,-15.603029,39
753,1.40625,-0.671069,-17.680349,44
754,-0.703125,-0.663745,-17.64097,44
755,-1.40625,-0.658862,-16.893583,42
756,-1.054688,-0.647876,-16.486773,41
757,-1.054688,-0.645435,-16.07752,40
758,-0.351562,-0.629565,-16.355524,40
759,-1.40625,-0.632007,-15.581282,38
760,-2.109375,-0.627124,-14.099031,35
761,-1.757812,-0.629565,-12.970784,32
762,0,-0.624683,-13.595467,33
763,0,-0.614917,-14.210383,35
764,-0.351562,-0.612476,-14.471296,36
765,-3.515625,-0.608813,-11.564485,29
766,0,-0.600269,-12.164753,30
767,-0.703125,-0.601489,-12.063117,30
768,1.054688,-0.594165,-13.711969,34
769,0,-0.591724,-14.303693,35
770,-0.703125,-0.600269,-14.200836,35
771,-0.703125,-0.591724,-14.089435,35
772,2.109375,-0.589282,-16.788092,41
773,1.054688,-0.580737,-18.423517,45
774,-0.703125,-0.580737,-18.30113,45
775,0,-0.58562,-18.886751,47
776,-0.351562,-0.588062,-19.123251,47
777,-1.054688,-0.577075,-18.645639,46
778,-4.21875,-0.58562,-15.01251,37
779,-1.054688,-0.60271,-14.560533,36
780,-1.40625,-0.5917,,
